"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 12, 2020","16,125.8","15,686.7","16,125.8","15,581.0","102.19K","2.78%"
"Nov 11, 2020","15,690.0","15,311.8","15,867.4","15,311.8","78.45K","2.57%"
"Nov 10, 2020","15,297.2","15,329.3","15,346.7","15,235.3","61.68K","-0.18%"
"Nov 09, 2020","15,324.5","15,483.8","15,608.5","15,208.8","108.98K","-1.02%"
"Nov 08, 2020","15,481.8","14,801.9","15,518.4","14,801.9","65.57K","4.46%"
"Nov 07, 2020","14,821.1","15,566.0","15,590.0","14,820.7","101.41K","-4.81%"
"Nov 06, 2020","15,570.3","15,592.2","15,824.8","15,472.0","122.63K","-0.06%"
"Nov 05, 2020","15,579.1","14,147.7","15,579.1","14,106.8","143.77K","10.19%"
"Nov 04, 2020","14,138.0","14,023.7","14,148.7","13,679.2","93.01K","0.85%"
"Nov 03, 2020","14,018.4","13,558.8","14,030.3","13,413.9","74.10K","3.39%"
"Nov 02, 2020","13,558.7","13,765.7","13,765.7","13,420.6","64.56K","-1.45%"
"Nov 01, 2020","13,758.1","13,764.7","13,811.7","13,705.4","36.29K","-0.26%"
"Oct 31, 2020","13,794.5","13,563.8","13,880.0","13,506.7","67.34K","1.76%"
"Oct 30, 2020","13,556.1","13,452.6","13,556.1","13,193.1","70.66K","0.75%"
"Oct 29, 2020","13,455.2","13,264.9","13,549.9","13,104.9","74.88K","1.34%"
"Oct 28, 2020","13,277.3","13,639.8","13,785.3","13,104.8","94.45K","-2.62%"
"Oct 27, 2020","13,635.0","13,051.7","13,648.0","13,051.7","80.80K","4.42%"
"Oct 26, 2020","13,058.3","13,032.5","13,179.8","12,865.2","60.96K","0.23%"
"Oct 25, 2020","13,028.5","13,103.4","13,127.3","12,972.0","38.48K","-0.65%"
"Oct 24, 2020","13,113.2","12,929.7","13,114.6","12,929.7","35.95K","1.40%"
"Oct 23, 2020","12,931.6","12,968.5","12,985.0","12,835.9","50.39K","-0.26%"
"Oct 22, 2020","12,964.8","12,791.3","13,120.2","12,727.0","70.07K","1.28%"
"Oct 21, 2020","12,800.6","11,909.4","12,881.4","11,909.4","114.55K","7.49%"
"Oct 20, 2020","11,908.8","11,751.2","11,961.7","11,711.5","62.15K","1.34%"
"Oct 19, 2020","11,751.0","11,509.0","11,766.4","11,437.5","47.64K","2.14%"
"Oct 18, 2020","11,504.6","11,359.3","11,504.6","11,354.7","23.27K","1.27%"
"Oct 17, 2020","11,360.3","11,325.8","11,360.3","11,325.8","22.38K","0.36%"
"Oct 16, 2020","11,319.7","11,505.2","11,533.8","11,308.2","48.80K","-1.57%"
"Oct 15, 2020","11,500.8","11,425.0","11,518.7","11,332.0","48.74K","0.73%"
"Oct 14, 2020","11,417.8","11,425.5","11,442.4","11,307.3","41.42K","-0.02%"
"Oct 13, 2020","11,420.6","11,531.3","11,531.3","11,371.2","42.21K","-0.94%"
"Oct 12, 2020","11,529.0","11,365.5","11,574.9","11,243.2","52.83K","1.41%"
"Oct 11, 2020","11,369.0","11,291.6","11,409.2","11,291.6","29.04K","0.67%"
"Oct 10, 2020","11,293.2","11,051.3","11,386.6","11,051.3","43.65K","2.18%"
"Oct 09, 2020","11,052.4","10,927.5","11,074.2","10,870.1","48.26K","1.21%"
"Oct 08, 2020","10,920.6","10,667.3","10,920.8","10,568.3","51.95K","2.34%"
"Oct 07, 2020","10,670.5","10,600.2","10,670.5","10,594.6","32.80K","0.65%"
"Oct 06, 2020","10,602.1","10,797.9","10,797.9","10,592.2","48.68K","-1.71%"
"Oct 05, 2020","10,787.0","10,663.1","10,787.0","10,663.1","34.02K","1.07%"
"Oct 04, 2020","10,672.5","10,536.4","10,672.5","10,536.4","23.20K","1.24%"
"Oct 03, 2020","10,542.1","10,572.0","10,577.0","10,528.0","22.30K","-0.26%"
"Oct 02, 2020","10,569.9","10,603.3","10,605.4","10,450.0","50.14K","-0.47%"
"Oct 01, 2020","10,619.7","10,780.6","10,898.8","10,619.7","60.87K","-1.44%"
"Sep 30, 2020","10,774.8","10,843.8","10,843.8","10,711.7","39.60K","-0.61%"
"Sep 29, 2020","10,840.6","10,669.7","10,840.6","10,652.6","41.90K","1.39%"
"Sep 28, 2020","10,692.2","10,787.8","10,923.5","10,692.2","50.08K","-0.76%"
"Sep 27, 2020","10,774.3","10,727.2","10,774.3","10,638.2","30.55K","0.44%"
"Sep 26, 2020","10,726.6","10,695.7","10,742.3","10,672.0","28.41K","0.37%"
"Sep 25, 2020","10,686.8","10,737.1","10,737.1","10,582.3","48.12K","-0.48%"
"Sep 24, 2020","10,738.6","10,241.6","10,745.8","10,241.6","57.68K","4.90%"
"Sep 23, 2020","10,237.1","10,533.1","10,533.1","10,228.5","51.86K","-2.78%"
"Sep 22, 2020","10,530.3","10,419.9","10,530.3","10,419.9","43.99K","1.08%"
"Sep 21, 2020","10,417.3","10,912.0","10,980.0","10,396.4","70.65K","-4.59%"
"Sep 20, 2020","10,918.9","11,074.3","11,074.3","10,841.7","39.16K","-1.46%"
"Sep 19, 2020","11,081.0","10,935.1","11,081.0","10,896.3","38.45K","1.36%"
"Sep 18, 2020","10,932.2","10,943.4","10,981.4","10,849.9","47.26K","-0.07%"
"Sep 17, 2020","10,940.0","10,951.9","10,951.9","10,816.6","55.60K","-0.07%"
"Sep 16, 2020","10,947.8","10,788.4","11,031.9","10,712.1","64.99K","1.51%"
"Sep 15, 2020","10,784.9","10,666.6","10,870.9","10,643.9","61.82K","1.04%"
"Sep 14, 2020","10,673.7","10,332.0","10,717.6","10,272.0","67.08K","3.40%"
"Sep 13, 2020","10,322.8","10,437.2","10,572.0","10,267.4","43.82K","-1.12%"
"Sep 12, 2020","10,439.7","10,387.1","10,469.8","10,323.0","35.37K","0.50%"
"Sep 11, 2020","10,387.9","10,347.5","10,387.9","10,247.1","43.83K","0.49%"
"Sep 10, 2020","10,336.9","10,218.2","10,382.0","10,218.2","58.25K","1.12%"
"Sep 09, 2020","10,222.5","10,125.1","10,324.1","9,995.0","49.35K","0.96%"
"Sep 08, 2020","10,125.4","10,383.7","10,383.7","9,985.0","73.52K","-2.38%"
"Sep 07, 2020","10,372.0","10,241.5","10,372.0","9,930.0","62.56K","1.18%"
"Sep 06, 2020","10,251.1","10,155.7","10,273.1","10,123.0","56.38K","0.88%"
"Sep 05, 2020","10,161.6","10,445.5","10,465.0","10,059.8","90.00K","-2.76%"
"Sep 04, 2020","10,450.4","10,188.5","10,543.4","10,188.5","92.84K","2.98%"
"Sep 03, 2020","10,147.5","11,381.2","11,404.4","10,147.5","121.95K","-10.90%"
"Sep 02, 2020","11,388.9","11,916.0","11,916.0","11,298.0","87.23K","-4.48%"
"Sep 01, 2020","11,922.5","11,663.5","11,966.2","11,617.8","78.12K","2.34%"
"Aug 31, 2020","11,649.5","11,721.8","11,728.5","11,614.2","55.36K","-0.59%"
"Aug 30, 2020","11,718.9","11,465.6","11,718.9","11,465.6","43.15K","2.20%"
"Aug 29, 2020","11,466.1","11,531.2","11,543.0","11,466.1","32.97K","-0.50%"
"Aug 28, 2020","11,523.9","11,341.8","11,523.9","11,341.8","45.97K","1.75%"
"Aug 27, 2020","11,325.4","11,457.7","11,457.7","11,239.0","63.25K","-1.15%"
"Aug 26, 2020","11,456.8","11,317.6","11,466.8","11,272.5","54.04K","1.17%"
"Aug 25, 2020","11,324.4","11,754.3","11,754.3","11,192.0","69.56K","-3.63%"
"Aug 24, 2020","11,751.5","11,648.1","11,791.0","11,617.3","46.20K","0.90%"
"Aug 23, 2020","11,646.7","11,668.6","11,679.0","11,528.2","37.90K","-0.14%"
"Aug 22, 2020","11,663.3","11,526.8","11,669.7","11,436.0","43.68K","1.16%"
"Aug 21, 2020","11,529.4","11,853.0","11,872.2","11,529.4","64.45K","-2.75%"
"Aug 20, 2020","11,855.8","11,754.5","11,876.3","11,702.0","46.12K","0.94%"
"Aug 19, 2020","11,745.2","11,945.1","11,945.1","11,675.0","73.93K","-1.83%"
"Aug 18, 2020","11,964.7","12,283.4","12,346.5","11,963.6","75.90K","-2.53%"
"Aug 17, 2020","12,275.5","11,916.5","12,393.0","11,832.4","84.72K","3.06%"
